,Unnamed: 0,theta,theta_dot,x,x_dot,tempo,forca
56,56,0.00614429,-0.25249785,-0.0103644558,0.18494876,1.1256281407035176,-9.984948124799999
57,57,0.0010943328,0.04211674,-0.0066654808999999995,-0.010260392,1.1457286432160805,9.9796842783
58,58,0.0019366676,-0.25022072,-0.006870688599999999,0.18484585,1.1658291457286432,-9.9818996871
59,59,-0.0030677468,0.043072447,-0.0031737714999999994,-0.010303704,1.185929648241206,-9.9782307999
60,60,-0.0022062978,0.3347859,-0.003379845699999999,-0.20538153,1.206030150753769,9.98209032315
61,61,0.00448942,0.041408032,-0.007487476349999999,-0.010228249,1.2261306532663316,9.977180332349999
62,62,0.005317581,-0.24985506,-0.00769204136,0.18482904,1.2462311557788945,-9.9843514089
63,63,0.00032047954,0.044500384,-0.0039954605999999995,-0.010368446,1.2663316582914572,9.9802522479
64,64,0.0012104872,-0.24808142,-0.004202829399999999,0.1847489,1.2864321608040201,-9.9813705915
65,65,-0.003751141,0.044983085,-0.0005078510000000001,-0.01039031,1.306532663316583,-9.977726153999999
66,66,-0.0028514792,0.33648014,-0.0007156572999999994,-0.20545827,1.3266331658291457,9.98255742495
67,67,0.0038781234,0.04289937,-0.004824822999999999,-0.010295857,1.3467336683417086,9.977632396049998
68,68,0.0047361106,-0.24855745,-0.005030739999999999,0.18477027,1.3668341708542713,-9.98393100705
69,69,-0.00023503831,0.045615576,-0.0013353346999999995,-0.010418997,1.3869346733668342,9.98066047605
70,70,0.0006772732,-0.2471415,-0.0015437143999999991,0.18470633,1.407035175879397,-9.9809825676
71,71,-0.0042655566,0.045754977,0.002150412000000001,-0.010425294,1.4271356783919598,-9.9773459049
72,72,-0.0033504572,0.33708903,0.0019419060000000002,-0.20548582,1.4472361809045227,9.98291833935
73,73,0.0033913234,0.04335144,-0.0021678103999999993,-0.010316351,1.4673366834170853,9.97799167365
74,74,0.0042583523,-0.24825956,-0.002374137499999999,0.1847568,1.4874371859296482,-9.98358492615
75,75,-0.00070683897,0.045763493,0.0013209980000000003,-0.010425701,1.5075376884422111,9.98100594315
76,76,0.00020843091,-0.24714236,0.0011124849999999999,0.18470638,1.5276381909547738,-9.9806400672
77,77,-0.0047344165,0.0456063,0.004806612,-0.010418548,1.5477386934673367,-9.9769989033
78,78,-0.0038222903,0.33679172,0.004598242000000001,-0.20547229,1.5678391959798996,9.9832592541
79,79,0.002913544,0.042905904,0.0004887960000000014,-0.010296156,1.5879396984924623,9.9783443529
80,80,0.0037716622,-0.24885635,0.0002828730000000012,0.18478389,1.6080402010050252,-9.98323219575
